well,submission_type,plate_id,sample_id,sample_type,sample_source,specimen_name,mixture,feces_added,specimen_base_id,specimen_type,dilution_label,aliquot_number,extraction_protocol
C05,DNA in Plate,1,M2F_D2_1,DNA,Bacterial culture and mouse,M2F-D2,M2,TRUE,M2F,Mock in feces,D2,1,1
D05,DNA in Plate,1,F2_D0_1,DNA,Mouse,F2-D0,NA,NA,F2,Fecal,D0,1,1
E05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A06,DNA in Plate,1,M2F_D0_4,DNA,Bacterial culture and mouse,M2F-D0,M2,TRUE,M2F,Mock in feces,D0,4,2
B06,DNA in Plate,1,M3N_D2_2,DNA,Bacterial culture,M3N-D2,M3,FALSE,M3N,Mock only,D2,2,2
C06,DNA in Plate,1,F1_D2_3,DNA,Mouse,F1-D2,NA,NA,F1,Fecal,D2,3,1
D06,DNA in Plate,1,F2_D1_4,DNA,Mouse,F2-D1,NA,NA,F2,Fecal,D1,4,2
E06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A07,DNA in Plate,1,M3N_D2_1,DNA,Bacterial culture,M3N-D2,M3,FALSE,M3N,Mock only,D2,1,1
B07,DNA in Plate,1,M3F_D0_2,DNA,Bacterial culture and mouse,M3F-D0,M3,TRUE,M3F,Mock in feces,D0,2,2
C07,DNA in Plate,1,T1_D0_2,DNA,Bacterial culture,T1-D0,NA,FALSE,T1,T. mobilis,D0,2,2
D07,DNA in Plate,1,F1_D2_4,DNA,Mouse,F1-D2,NA,NA,F1,Fecal,D2,4,2
E07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A08,DNA in Plate,1,M2F_D0_2,DNA,Bacterial culture and mouse,M2F-D0,M2,TRUE,M2F,Mock in feces,D0,2,2
B08,DNA in Plate,1,M1F_D0_2,DNA,Bacterial culture and mouse,M1F-D0,M1,TRUE,M1F,Mock in feces,D0,2,2
C08,DNA in Plate,1,F2_D0_4,DNA,Mouse,F2-D0,NA,NA,F2,Fecal,D0,4,2
D08,DNA in Plate,1,F3_D2_1,DNA,Mouse,F3-D2,NA,NA,F3,Fecal,D2,1,1
E08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A09,DNA in Plate,1,F3_D2_2,DNA,Mouse,F3-D2,NA,NA,F3,Fecal,D2,2,2
