dna_sample_id,specimen_id,aliquot_number,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,protocol,dna_conc,well,A2,A1,S2,S1
4_1,4,1,inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,P1,0.1558,C7,TRUE,TRUE,TRUE,TRUE
4_2,4,2,inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,P2,0.6554,F5,TRUE,TRUE,TRUE,TRUE
4_3,4,3,inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,P1,0.1962,A2,TRUE,TRUE,TRUE,TRUE
4_4,4,4,inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,P2,0.797,B11,TRUE,TRUE,TRUE,TRUE
5_1,5,1,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P1,21.9,A1,TRUE,TRUE,TRUE,TRUE
5_2,5,2,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P2,7.7403,D1,TRUE,TRUE,TRUE,TRUE
5_3,5,3,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P1,26.1,C3,TRUE,TRUE,TRUE,TRUE
5_4,5,4,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P2,8.074,E2,TRUE,TRUE,TRUE,TRUE
6_1,6,1,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P1,32.3,G1,TRUE,TRUE,TRUE,TRUE
6_2,6,2,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P2,8.4233,G6,TRUE,TRUE,TRUE,TRUE
6_3,6,3,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P1,22.1,C10,TRUE,TRUE,TRUE,TRUE
6_4,6,4,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P2,6.204,E1,TRUE,TRUE,TRUE,TRUE
7_1,7,1,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P1,23.3,G12,TRUE,TRUE,TRUE,TRUE
7_2,7,2,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P2,5.7073,A5,TRUE,TRUE,TRUE,TRUE
7_3,7,3,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P1,24.3,B3,TRUE,TRUE,TRUE,TRUE
7_4,7,4,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P2,6.7461,F3,TRUE,TRUE,TRUE,TRUE
8_1,8,1,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P1,21.8,B10,TRUE,TRUE,TRUE,TRUE
8_2,8,2,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P2,4.0927,F6,TRUE,TRUE,TRUE,TRUE
8_3,8,3,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P1,19.9,H5,TRUE,TRUE,TRUE,FALSE
8_4,8,4,fecal,2,4,2019-09-19,mouse,female,1,2019-12-03,1,4,P2,4.6797,H8,TRUE,TRUE,TRUE,FALSE
9_1,9,1,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P1,21.5,F12,TRUE,TRUE,TRUE,TRUE
9_2,9,2,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P2,6.8906,E3,TRUE,TRUE,TRUE,TRUE
9_3,9,3,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P1,22.6,E8,TRUE,TRUE,TRUE,TRUE
9_4,9,4,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P2,5.949,A11,TRUE,TRUE,TRUE,TRUE
10_1,10,1,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P1,21.3,B4,TRUE,TRUE,TRUE,TRUE
10_2,10,2,fecal,2,4,2019-09-19,mouse,male,1,2019-12-03,1,4,P2,7.3401,B2,TRUE,TRUE,TRUE,TRUE
