sample_id,center_id,dna_sample_id,path_r1,path_r2
S1_5_1,S1,5_1,data/s1/reads/raw/5_1.fastq.gz,NA
S1_5_2,S1,5_2,data/s1/reads/raw/5_2.fastq.gz,NA
S1_5_3,S1,5_3,data/s1/reads/raw/5_3.fastq.gz,NA
S1_5_4,S1,5_4,data/s1/reads/raw/5_4.fastq.gz,NA
S1_6_1,S1,6_1,data/s1/reads/raw/6_1.fastq.gz,NA
S1_6_2,S1,6_2,data/s1/reads/raw/6_2.fastq.gz,NA
S1_6_3,S1,6_3,data/s1/reads/raw/6_3.fastq.gz,NA
S1_6_4,S1,6_4,data/s1/reads/raw/6_4.fastq.gz,NA
S1_7_1,S1,7_1,data/s1/reads/raw/7_1.fastq.gz,NA
S1_7_2,S1,7_2,data/s1/reads/raw/7_2.fastq.gz,NA
S1_7_3,S1,7_3,data/s1/reads/raw/7_3.fastq.gz,NA
S1_7_4,S1,7_4,data/s1/reads/raw/7_4.fastq.gz,NA
S1_8_1,S1,8_1,data/s1/reads/raw/8_1.fastq.gz,NA
S1_8_2,S1,8_2,data/s1/reads/raw/8_2.fastq.gz,NA
S1_9_1,S1,9_1,data/s1/reads/raw/9_1.fastq.gz,NA
S1_9_2,S1,9_2,data/s1/reads/raw/9_2.fastq.gz,NA
S1_9_3,S1,9_3,data/s1/reads/raw/9_3.fastq.gz,NA
S1_9_4,S1,9_4,data/s1/reads/raw/9_4.fastq.gz,NA
S1_10_1,S1,10_1,data/s1/reads/raw/10_1.fastq.gz,NA
S1_10_2,S1,10_2,data/s1/reads/raw/10_2.fastq.gz,NA
S1_10_3,S1,10_3,data/s1/reads/raw/10_3.fastq.gz,NA
S1_10_4,S1,10_4,data/s1/reads/raw/10_4.fastq.gz,NA
S1_11_1,S1,11_1,data/s1/reads/raw/11_1.fastq.gz,NA
S1_11_2,S1,11_2,data/s1/reads/raw/11_2.fastq.gz,NA
S1_11_3,S1,11_3,data/s1/reads/raw/11_3.fastq.gz,NA
S1_11_4,S1,11_4,data/s1/reads/raw/11_4.fastq.gz,NA
S1_12_1,S1,12_1,data/s1/reads/raw/12_1.fastq.gz,NA
S1_12_2,S1,12_2,data/s1/reads/raw/12_2.fastq.gz,NA
S1_13_1,S1,13_1,data/s1/reads/raw/13_1.fastq.gz,NA
S1_13_2,S1,13_2,data/s1/reads/raw/13_2.fastq.gz,NA
S1_14_1,S1,14_1,data/s1/reads/raw/14_1.fastq.gz,NA
S1_14_2,S1,14_2,data/s1/reads/raw/14_2.fastq.gz,NA
S1_14_3,S1,14_3,data/s1/reads/raw/14_3.fastq.gz,NA
S1_14_4,S1,14_4,data/s1/reads/raw/14_4.fastq.gz,NA
S1_15_1,S1,15_1,data/s1/reads/raw/15_1.fastq.gz,NA
S1_15_2,S1,15_2,data/s1/reads/raw/15_2.fastq.gz,NA
S1_15_3,S1,15_3,data/s1/reads/raw/15_3.fastq.gz,NA
S1_15_4,S1,15_4,data/s1/reads/raw/15_4.fastq.gz,NA
S1_16_1,S1,16_1,data/s1/reads/raw/16_1.fastq.gz,NA
S1_16_2,S1,16_2,data/s1/reads/raw/16_2.fastq.gz,NA
S1_16_3,S1,16_3,data/s1/reads/raw/16_3.fastq.gz,NA
S1_16_4,S1,16_4,data/s1/reads/raw/16_4.fastq.gz,NA
S1_17_1,S1,17_1,data/s1/reads/raw/17_1.fastq.gz,NA
S1_17_2,S1,17_2,data/s1/reads/raw/17_2.fastq.gz,NA
S1_17_3,S1,17_3,data/s1/reads/raw/17_3.fastq.gz,NA
S1_17_4,S1,17_4,data/s1/reads/raw/17_4.fastq.gz,NA
S1_18_1,S1,18_1,data/s1/reads/raw/18_1.fastq.gz,NA
S1_18_2,S1,18_2,data/s1/reads/raw/18_2.fastq.gz,NA
S1_18_3,S1,18_3,data/s1/reads/raw/18_3.fastq.gz,NA
S1_18_4,S1,18_4,data/s1/reads/raw/18_4.fastq.gz,NA
S1_19_1,S1,19_1,data/s1/reads/raw/19_1.fastq.gz,NA
S1_19_2,S1,19_2,data/s1/reads/raw/19_2.fastq.gz,NA
S1_19_3,S1,19_3,data/s1/reads/raw/19_3.fastq.gz,NA
S1_19_4,S1,19_4,data/s1/reads/raw/19_4.fastq.gz,NA
S1_20_1,S1,20_1,data/s1/reads/raw/20_1.fastq.gz,NA
S1_20_2,S1,20_2,data/s1/reads/raw/20_2.fastq.gz,NA
S1_21_1,S1,21_1,data/s1/reads/raw/21_1.fastq.gz,NA
S1_21_2,S1,21_2,data/s1/reads/raw/21_2.fastq.gz,NA
S1_21_3,S1,21_3,data/s1/reads/raw/21_3.fastq.gz,NA
S1_21_4,S1,21_4,data/s1/reads/raw/21_4.fastq.gz,NA
S1_22_1,S1,22_1,data/s1/reads/raw/22_1.fastq.gz,NA
S1_22_2,S1,22_2,data/s1/reads/raw/22_2.fastq.gz,NA
S1_22_3,S1,22_3,data/s1/reads/raw/22_3.fastq.gz,NA
S1_22_4,S1,22_4,data/s1/reads/raw/22_4.fastq.gz,NA
S1_23_1,S1,23_1,data/s1/reads/raw/23_1.fastq.gz,NA
S1_23_2,S1,23_2,data/s1/reads/raw/23_2.fastq.gz,NA
S1_24_1,S1,24_1,data/s1/reads/raw/24_1.fastq.gz,NA
S1_24_2,S1,24_2,data/s1/reads/raw/24_2.fastq.gz,NA
S1_25_1,S1,25_1,data/s1/reads/raw/25_1.fastq.gz,NA
S1_25_2,S1,25_2,data/s1/reads/raw/25_2.fastq.gz,NA
S1_26_1,S1,26_1,data/s1/reads/raw/26_1.fastq.gz,NA
S1_26_2,S1,26_2,data/s1/reads/raw/26_2.fastq.gz,NA
S1_26_3,S1,26_3,data/s1/reads/raw/26_3.fastq.gz,NA
S1_26_4,S1,26_4,data/s1/reads/raw/26_4.fastq.gz,NA
S2_1_1,S2,1_1,data/s2/reads/raw/C04_S39_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/C04_S39_CIDNS200509-022_R2_001.fastq.gz
S2_1_2,S2,1_2,data/s2/reads/raw/F09_S43_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/F09_S43_CIDNS200518-023_R2_001.fastq.gz
S2_2_1,S2,2_1,data/s2/reads/raw/G07_S28_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/G07_S28_CIDNS200518-023_R2_001.fastq.gz
S2_2_2,S2,2_2,data/s2/reads/raw/E05_S49_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/E05_S49_CIDNS200509-022_R2_001.fastq.gz
S2_2_3,S2,2_3,data/s2/reads/raw/A03_S29_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/A03_S29_CIDNS200509-022_R2_001.fastq.gz
S2_2_4,S2,2_4,data/s2/reads/raw/G03_S35_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/G03_S35_CIDNS200509-022_R2_001.fastq.gz
S2_3_1,S2,3_1,data/s2/reads/raw/D10_S4_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/D10_S4_CIDNXS20200524-025_R2_001.fastq.gz
S2_3_2,S2,3_2,data/s2/reads/raw/E12_S20_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/E12_S20_CIDNXS20200524-025_R2_001.fastq.gz
S2_3_3,S2,3_3,data/s2/reads/raw/H03_S36_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/H03_S36_CIDNS200509-022_R2_001.fastq.gz
S2_3_4,S2,3_4,data/s2/reads/raw/E10_S5_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/E10_S5_CIDNXS20200524-025_R2_001.fastq.gz
S2_4_1,S2,4_1,data/s2/reads/raw/C07_S24_CIDNS200518-023_R1_001.fastq.gz,data/s2/reads/raw/C07_S24_CIDNS200518-023_R2_001.fastq.gz
S2_4_2,S2,4_2,data/s2/reads/raw/F05_S50_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/F05_S50_CIDNS200509-022_R2_001.fastq.gz
S2_4_3,S2,4_3,data/s2/reads/raw/A02_S21_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/A02_S21_CIDNS200509-022_R2_001.fastq.gz
S2_4_4,S2,4_4,data/s2/reads/raw/B11_S10_CIDNXS20200524-025_R1_001.fastq.gz,data/s2/reads/raw/B11_S10_CIDNXS20200524-025_R2_001.fastq.gz
S2_5_1,S2,5_1,data/s2/reads/raw/A01_S13_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/A01_S13_CIDNS200509-022_R2_001.fastq.gz
S2_5_2,S2,5_2,data/s2/reads/raw/D01_S16_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/D01_S16_CIDNS200509-022_R2_001.fastq.gz
S2_5_3,S2,5_3,data/s2/reads/raw/C03_S31_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/C03_S31_CIDNS200509-022_R2_001.fastq.gz
S2_5_4,S2,5_4,data/s2/reads/raw/E02_S25_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/E02_S25_CIDNS200509-022_R2_001.fastq.gz
S2_6_1,S2,6_1,data/s2/reads/raw/G01_S19_CIDNS200509-022_R1_001.fastq.gz,data/s2/reads/raw/G01_S19_CIDNS200509-022_R2_001.fastq.gz
