dna_sample_id,specimen_id,aliquot_number,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,volume_pbs,volume_per_aliquot,extraction_protocol,dna_conc,dna_conc_s1,dna_conc_s2,well,row,column,A1,A2,S1,S2
11_4,11,4,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,2,6.3506,4.135,17.4,B1,B,1,TRUE,TRUE,TRUE,TRUE
12_1,12,1,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,1,17.6,11.326,19.9,B8,B,8,TRUE,TRUE,TRUE,TRUE
12_2,12,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,2,4.3571,4.237,9.84,A12,A,12,TRUE,TRUE,TRUE,TRUE
12_3,12,3,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,1,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_4,12,4,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1000,200,2,3.8461,NA,NA,NA,NA,NA,NA,NA,NA,NA
13_1,13,1,T. mobilis,NA,NA,NA,NA,NA,2,2019-12-11,10,2,500,200,1,17.7,15.643,18.9,C9,C,9,TRUE,TRUE,TRUE,TRUE
13_2,13,2,T. mobilis,NA,NA,NA,NA,NA,2,2019-12-11,10,2,500,200,2,13.6,20.886,33.4,F4,F,4,TRUE,TRUE,TRUE,TRUE
14_1,14,1,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,850,200,1,0.9255,0.699,1.42,C6,C,6,TRUE,TRUE,TRUE,TRUE
14_2,14,2,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,850,200,2,8.401,4.405,11.3,F1,F,1,TRUE,TRUE,TRUE,TRUE
14_3,14,3,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,850,200,1,0.7367,0.739,1.15,D7,D,7,TRUE,TRUE,TRUE,TRUE
14_4,14,4,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,850,200,2,7.575,4.375,8.64,E7,E,7,TRUE,TRUE,TRUE,TRUE
15_1,15,1,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,850,200,1,0.4654,0.221,0.646,A8,A,8,TRUE,TRUE,TRUE,TRUE
15_2,15,2,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,850,200,2,6.489,3.109,6.66,A10,A,10,TRUE,TRUE,TRUE,TRUE
15_3,15,3,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,850,200,1,0.5021,0.439,0.676,C12,C,12,TRUE,TRUE,TRUE,TRUE
15_4,15,4,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,850,200,2,4.139,2.137,1.11,G8,G,8,TRUE,TRUE,TRUE,TRUE
16_1,16,1,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,850,200,1,1.103,0.524,0.816,F2,F,2,TRUE,TRUE,TRUE,TRUE
16_2,16,2,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,850,200,2,8.372,5.044,8.08,E9,E,9,TRUE,TRUE,TRUE,TRUE
16_3,16,3,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,850,200,1,1.141,1.064,1.95,C2,C,2,TRUE,TRUE,TRUE,TRUE
16_4,16,4,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,850,200,2,9.611,4.195,1.86,D2,D,2,TRUE,TRUE,TRUE,TRUE
17_1,17,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,1,9.917,8.518,18.4,F8,F,8,TRUE,TRUE,TRUE,TRUE
17_2,17,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,2,5.839,4.381,9.74,B5,B,5,TRUE,TRUE,TRUE,TRUE
17_3,17,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,1,10.3,9.023,20.2,A4,A,4,TRUE,TRUE,TRUE,TRUE
17_4,17,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,2,7.148,5.641,12.5,F11,F,11,TRUE,TRUE,TRUE,TRUE
18_1,18,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,1,11.18,12.817,3.82,D12,D,12,TRUE,TRUE,TRUE,TRUE
18_2,18,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,2,8.129,5.281,11.4,H2,H,2,TRUE,TRUE,TRUE,TRUE
18_3,18,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,1,11.19,12.051,33.2,C8,C,8,TRUE,TRUE,TRUE,TRUE
18_4,18,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,2,7.092,8.587,17.8,B12,B,12,TRUE,TRUE,TRUE,TRUE
19_1,19,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,1,7.406,6.302,25.4,C1,C,1,TRUE,TRUE,TRUE,TRUE
19_2,19,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,2,8.373,5.314,14,E6,E,6,TRUE,TRUE,TRUE,TRUE
19_3,19,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1000,200,1,7.682,6.183,9.12,D9,D,9,TRUE,TRUE,TRUE,TRUE
