center_id,dna_sample_id,file,path,read
A1,4_1,4-1_S31_L001_R2_001.fastq.gz,data/a1/reads/raw/4-1_S31_L001_R2_001.fastq.gz,R2
A1,4_2,4-2_S65_L001_R1_001.fastq.gz,data/a1/reads/raw/4-2_S65_L001_R1_001.fastq.gz,R1
A1,4_2,4-2_S65_L001_R2_001.fastq.gz,data/a1/reads/raw/4-2_S65_L001_R2_001.fastq.gz,R2
A1,4_3,4-3_S2_L001_R1_001.fastq.gz,data/a1/reads/raw/4-3_S2_L001_R1_001.fastq.gz,R1
A1,4_3,4-3_S2_L001_R2_001.fastq.gz,data/a1/reads/raw/4-3_S2_L001_R2_001.fastq.gz,R2
A1,4_4,4-4_S23_L001_R1_001.fastq.gz,data/a1/reads/raw/4-4_S23_L001_R1_001.fastq.gz,R1
A1,4_4,4-4_S23_L001_R2_001.fastq.gz,data/a1/reads/raw/4-4_S23_L001_R2_001.fastq.gz,R2
A1,5_1,5-1_S1_L001_R1_001.fastq.gz,data/a1/reads/raw/5-1_S1_L001_R1_001.fastq.gz,R1
A1,5_1,5-1_S1_L001_R2_001.fastq.gz,data/a1/reads/raw/5-1_S1_L001_R2_001.fastq.gz,R2
A1,5_2,5-2_S37_L001_R1_001.fastq.gz,data/a1/reads/raw/5-2_S37_L001_R1_001.fastq.gz,R1
A1,5_2,5-2_S37_L001_R2_001.fastq.gz,data/a1/reads/raw/5-2_S37_L001_R2_001.fastq.gz,R2
A1,5_3,5-3_S27_L001_R1_001.fastq.gz,data/a1/reads/raw/5-3_S27_L001_R1_001.fastq.gz,R1
A1,5_3,5-3_S27_L001_R2_001.fastq.gz,data/a1/reads/raw/5-3_S27_L001_R2_001.fastq.gz,R2
A1,5_4,5-4_S50_L001_R1_001.fastq.gz,data/a1/reads/raw/5-4_S50_L001_R1_001.fastq.gz,R1
A1,5_4,5-4_S50_L001_R2_001.fastq.gz,data/a1/reads/raw/5-4_S50_L001_R2_001.fastq.gz,R2
A1,6_1,6-1_S73_L001_R1_001.fastq.gz,data/a1/reads/raw/6-1_S73_L001_R1_001.fastq.gz,R1
A1,6_1,6-1_S73_L001_R2_001.fastq.gz,data/a1/reads/raw/6-1_S73_L001_R2_001.fastq.gz,R2
A1,6_2,6-2_S78_L001_R1_001.fastq.gz,data/a1/reads/raw/6-2_S78_L001_R1_001.fastq.gz,R1
A1,6_2,6-2_S78_L001_R2_001.fastq.gz,data/a1/reads/raw/6-2_S78_L001_R2_001.fastq.gz,R2
A1,6_3,6-3_S34_L001_R1_001.fastq.gz,data/a1/reads/raw/6-3_S34_L001_R1_001.fastq.gz,R1
A1,6_3,6-3_S34_L001_R2_001.fastq.gz,data/a1/reads/raw/6-3_S34_L001_R2_001.fastq.gz,R2
A1,6_4,6-4_S49_L001_R1_001.fastq.gz,data/a1/reads/raw/6-4_S49_L001_R1_001.fastq.gz,R1
A1,6_4,6-4_S49_L001_R2_001.fastq.gz,data/a1/reads/raw/6-4_S49_L001_R2_001.fastq.gz,R2
A1,7_1,7-1_S84_L001_R1_001.fastq.gz,data/a1/reads/raw/7-1_S84_L001_R1_001.fastq.gz,R1
A1,7_1,7-1_S84_L001_R2_001.fastq.gz,data/a1/reads/raw/7-1_S84_L001_R2_001.fastq.gz,R2
A1,7_2,7-2_S5_L001_R1_001.fastq.gz,data/a1/reads/raw/7-2_S5_L001_R1_001.fastq.gz,R1
A1,7_2,7-2_S5_L001_R2_001.fastq.gz,data/a1/reads/raw/7-2_S5_L001_R2_001.fastq.gz,R2
A1,7_3,7-3_S15_L001_R1_001.fastq.gz,data/a1/reads/raw/7-3_S15_L001_R1_001.fastq.gz,R1
A1,7_3,7-3_S15_L001_R2_001.fastq.gz,data/a1/reads/raw/7-3_S15_L001_R2_001.fastq.gz,R2
A1,7_4,7-4_S63_L001_R1_001.fastq.gz,data/a1/reads/raw/7-4_S63_L001_R1_001.fastq.gz,R1
A1,7_4,7-4_S63_L001_R2_001.fastq.gz,data/a1/reads/raw/7-4_S63_L001_R2_001.fastq.gz,R2
A1,8_1,8-1_S22_L001_R1_001.fastq.gz,data/a1/reads/raw/8-1_S22_L001_R1_001.fastq.gz,R1
A1,8_1,8-1_S22_L001_R2_001.fastq.gz,data/a1/reads/raw/8-1_S22_L001_R2_001.fastq.gz,R2
A1,8_2,8-2_S66_L001_R1_001.fastq.gz,data/a1/reads/raw/8-2_S66_L001_R1_001.fastq.gz,R1
A1,8_2,8-2_S66_L001_R2_001.fastq.gz,data/a1/reads/raw/8-2_S66_L001_R2_001.fastq.gz,R2
A1,8_3,8-3_S89_L001_R1_001.fastq.gz,data/a1/reads/raw/8-3_S89_L001_R1_001.fastq.gz,R1
A1,8_3,8-3_S89_L001_R2_001.fastq.gz,data/a1/reads/raw/8-3_S89_L001_R2_001.fastq.gz,R2
A1,8_4,8-4_S92_L001_R1_001.fastq.gz,data/a1/reads/raw/8-4_S92_L001_R1_001.fastq.gz,R1
