sample_id,center_id,dna_sample_id,specimen_id,aliquot_number,specimen_type,collection_week,collection_day,collection_date,host_species,host_sex,extraction_batch,extraction_date,number_of_pellets,number_of_aliquots,extraction_protocol,dna_conc,dna_conc_s1,dna_conc_s2,well,row,column,library_strategy
A1_6_2,A1,6_2,6,2,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,8.4233,5.03,11.5,G6,G,6,Amplicon
A1_6_3,A1,6_3,6,3,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,22.1,30.622,61.8,C10,C,10,Amplicon
A1_6_4,A1,6_4,6,4,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,6.204,3.604,10.1,E1,E,1,Amplicon
A1_7_1,A1,7_1,7,1,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,23.3,29.56,46.4,G12,G,12,Amplicon
A1_7_2,A1,7_2,7,2,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,5.7073,4.12,16,A5,A,5,Amplicon
A1_7_3,A1,7_3,7,3,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,24.3,27.778,102,B3,B,3,Amplicon
A1_7_4,A1,7_4,7,4,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,6.7461,3.873,7.92,F3,F,3,Amplicon
A1_8_1,A1,8_1,8,1,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,21.8,16.263,11.7,B10,B,10,Amplicon
A1_8_2,A1,8_2,8,2,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,4.0927,2.853,5.74,F6,F,6,Amplicon
A1_8_3,A1,8_3,8,3,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,19.9,NA,13.8,H5,H,5,Amplicon
A1_8_4,A1,8_4,8,4,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,4.6797,NA,6.72,H8,H,8,Amplicon
A1_9_1,A1,9_1,9,1,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,21.5,29.555,67.2,F12,F,12,Amplicon
A1_9_2,A1,9_2,9,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,6.8906,3.847,8.34,E3,E,3,Amplicon
A1_9_3,A1,9_3,9,3,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,22.6,26.267,52.6,E8,E,8,Amplicon
A1_9_4,A1,9_4,9,4,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,5.949,6.075,10.6,A11,A,11,Amplicon
A1_10_1,A1,10_1,10,1,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,21.3,22.63,54.2,B4,B,4,Amplicon
A1_10_2,A1,10_2,10,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,7.3401,4.298,12.1,B2,B,2,Amplicon
A1_10_3,A1,10_3,10,3,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,21.9,24.49,26.8,B9,B,9,Amplicon
A1_10_4,A1,10_4,10,4,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,7.3251,4.889,13.7,G4,G,4,Amplicon
A1_11_1,A1,11_1,11,1,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,22.4,15.215,22.8,G11,G,11,Amplicon
A1_11_2,A1,11_2,11,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,6.8657,4.792,9.6,G5,G,5,Amplicon
A1_11_3,A1,11_3,11,3,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,16.4,17.309,24.2,F10,F,10,Amplicon
A1_11_4,A1,11_4,11,4,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,6.3506,4.135,17.4,B1,B,1,Amplicon
A1_12_1,A1,12_1,12,1,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,17.6,11.326,19.9,B8,B,8,Amplicon
A1_12_2,A1,12_2,12,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,4.3571,4.237,9.84,A12,A,12,Amplicon
A1_13_1,A1,13_1,13,1,T. mobilis,NA,NA,NA,NA,NA,2,2019-12-11,10,2,1,17.7,15.643,18.9,C9,C,9,Amplicon
A1_13_2,A1,13_2,13,2,T. mobilis,NA,NA,NA,NA,NA,2,2019-12-11,10,2,2,13.6,20.886,33.4,F4,F,4,Amplicon
A1_14_1,A1,14_1,14,1,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,1,0.9255,0.699,1.42,C6,C,6,Amplicon
A1_14_2,A1,14_2,14,2,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,2,8.401,4.405,11.3,F1,F,1,Amplicon
A1_14_3,A1,14_3,14,3,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,1,0.7367,0.739,1.15,D7,D,7,Amplicon
A1_14_4,A1,14_4,14,4,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,2,7.575,4.375,8.64,E7,E,7,Amplicon
A1_15_1,A1,15_1,15,1,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,1,0.4654,0.221,0.646,A8,A,8,Amplicon
A1_15_2,A1,15_2,15,2,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,2,6.489,3.109,6.66,A10,A,10,Amplicon
A1_15_3,A1,15_3,15,3,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,1,0.5021,0.439,0.676,C12,C,12,Amplicon
A1_15_4,A1,15_4,15,4,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,2,4.139,2.137,1.11,G8,G,8,Amplicon
A1_16_1,A1,16_1,16,1,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,1,1.103,0.524,0.816,F2,F,2,Amplicon
A1_16_2,A1,16_2,16,2,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,2,8.372,5.044,8.08,E9,E,9,Amplicon
A1_16_3,A1,16_3,16,3,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,1,1.141,1.064,1.95,C2,C,2,Amplicon
A1_16_4,A1,16_4,16,4,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,2,9.611,4.195,1.86,D2,D,2,Amplicon
A1_17_1,A1,17_1,17,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,9.917,8.518,18.4,F8,F,8,Amplicon
A1_17_2,A1,17_2,17,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,5.839,4.381,9.74,B5,B,5,Amplicon
A1_17_3,A1,17_3,17,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,10.3,9.023,20.2,A4,A,4,Amplicon
A1_17_4,A1,17_4,17,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,7.148,5.641,12.5,F11,F,11,Amplicon
A1_18_1,A1,18_1,18,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,11.18,12.817,3.82,D12,D,12,Amplicon
A1_18_2,A1,18_2,18,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,8.129,5.281,11.4,H2,H,2,Amplicon
A1_18_3,A1,18_3,18,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,11.19,12.051,33.2,C8,C,8,Amplicon
A1_18_4,A1,18_4,18,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,7.092,8.587,17.8,B12,B,12,Amplicon
A1_19_1,A1,19_1,19,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,7.406,6.302,25.4,C1,C,1,Amplicon
A1_19_2,A1,19_2,19,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,8.373,5.314,14,E6,E,6,Amplicon
A1_19_3,A1,19_3,19,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,7.682,6.183,9.12,D9,D,9,Amplicon
A1_19_4,A1,19_4,19,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,7.96,5.227,11.6,D6,D,6,Amplicon
A1_20_1,A1,20_1,20,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,17.1,16.997,55,C5,C,5,Amplicon
A1_20_2,A1,20_2,20,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,9.269,6.257,13.5,D5,D,5,Amplicon
A1_20_3,A1,20_3,20,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,16.7,NA,25.8,H10,H,10,Amplicon
A1_20_4,A1,20_4,20,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,5.753,NA,11.8,H6,H,6,Amplicon
A1_21_1,A1,21_1,21,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,19.3,25.217,37.6,G10,G,10,Amplicon
A1_21_2,A1,21_2,21,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,11.3,10.761,18.9,E11,E,11,Amplicon
A1_21_3,A1,21_3,21,3,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,19.9,24.313,84.2,B6,B,6,Amplicon
A1_21_4,A1,21_4,21,4,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,17.1,16.684,44.4,D3,D,3,Amplicon
A1_22_1,A1,22_1,22,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,17.2,18.366,32.6,G9,G,9,Amplicon
A1_22_2,A1,22_2,22,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,10.3,9.994,18.8,D11,D,11,Amplicon
A1_22_3,A1,22_3,22,3,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,19.9,17.732,32,H4,H,4,Amplicon
A1_22_4,A1,22_4,22,4,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,9.863,5.794,20,E4,E,4,Amplicon
A1_23_1,A1,23_1,23,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,8.999,8.865,11.2,F7,F,7,Amplicon
A1_23_2,A1,23_2,23,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,6.286,7.787,10.9,C11,C,11,Amplicon
A1_23_3,A1,23_3,23,3,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,8.227,NA,14,H9,H,9,Amplicon
A1_23_4,A1,23_4,23,4,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,7.671,NA,12.2,H7,H,7,Amplicon
A1_24_1,A1,24_1,24,1,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,1,10.4,11.121,13,A9,A,9,Amplicon
A1_24_2,A1,24_2,24,2,Fecal,6,4,2019-10-17,Mouse,Male,2,2019-12-11,1,4,2,8.645,6.562,12.6,A6,A,6,Amplicon
A1_25_1,A1,25_1,25,1,Inoculum,1,1,2019-09-09,NA,NA,2,2019-12-11,4,2,1,0.2868,0.104,0.44,G2,G,2,Amplicon
A1_25_2,A1,25_2,25,2,Inoculum,1,1,2019-09-09,NA,NA,2,2019-12-11,4,2,2,7.261,3.501,12.7,B7,B,7,Amplicon
A1_26_1,A1,26_1,26,1,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,1,0.6854,0.523,1.26,H1,H,1,Amplicon
A1_26_2,A1,26_2,26,2,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,2,6.896,2.991,6.36,D4,D,4,Amplicon
A1_26_3,A1,26_3,26,3,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,1,0.1722,0.754,1.16,D8,D,8,Amplicon
A1_26_4,A1,26_4,26,4,Inoculum,1,2,2019-09-10,NA,NA,2,2019-12-11,6,4,2,5.954,3.31,0.108,A7,A,7,Amplicon
A2_1_1,A2,1_1,1,1,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,1,0.2785,0.08,0.358,C4,C,4,Amplicon
A2_1_2,A2,1_2,1,2,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,2,0.9576,0.72,1.55,F9,F,9,Amplicon
A2_1_3,A2,1_3,1,3,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,1,0.3571,NA,NA,H11,H,11,Amplicon
A2_1_4,A2,1_4,1,4,T. mobilis,NA,NA,NA,NA,NA,1,2019-12-03,1,4,2,1.1852,NA,NA,H12,H,12,Amplicon
A2_2_1,A2,2_1,2,1,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,1,0.283,0.08,0.272,G7,G,7,Amplicon
A2_2_2,A2,2_2,2,2,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,2,1.1587,0.761,3.2,E5,E,5,Amplicon
A2_2_3,A2,2_3,2,3,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,1,0.2609,0.003,0.266,A3,A,3,Amplicon
A2_2_4,A2,2_4,2,4,Inoculum,1,1,2019-09-09,NA,NA,1,2019-12-03,1,4,2,0.9978,0.531,1.24,G3,G,3,Amplicon
A2_3_1,A2,3_1,3,1,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,1,0.238,0.078,0.218,D10,D,10,Amplicon
A2_3_2,A2,3_2,3,2,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,2,0.8068,0.554,0.76,E12,E,12,Amplicon
A2_3_3,A2,3_3,3,3,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,1,0.2944,0.061,0.332,H3,H,3,Amplicon
A2_3_4,A2,3_4,3,4,Inoculum,1,2,2019-09-10,NA,NA,1,2019-12-03,1,4,2,0.917,0.616,1.16,E10,E,10,Amplicon
A2_4_1,A2,4_1,4,1,Inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,1,0.1558,0,0,C7,C,7,Amplicon
A2_4_2,A2,4_2,4,2,Inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,2,0.6554,0.399,0.312,F5,F,5,Amplicon
A2_4_3,A2,4_3,4,3,Inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,1,0.1962,0.025,0.132,A2,A,2,Amplicon
A2_4_4,A2,4_4,4,4,Inoculum,1,3,2019-09-11,NA,NA,1,2019-12-03,1,4,2,0.797,0.672,1.53,B11,B,11,Amplicon
A2_5_1,A2,5_1,5,1,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,21.9,30.257,55.2,A1,A,1,Amplicon
A2_5_2,A2,5_2,5,2,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,7.7403,4.575,12.3,D1,D,1,Amplicon
A2_5_3,A2,5_3,5,3,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,26.1,26.337,69,C3,C,3,Amplicon
A2_5_4,A2,5_4,5,4,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,8.074,2.795,8.96,E2,E,2,Amplicon
A2_6_1,A2,6_1,6,1,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,32.3,32.65,102,G1,G,1,Amplicon
A2_6_2,A2,6_2,6,2,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,8.4233,5.03,11.5,G6,G,6,Amplicon
A2_6_3,A2,6_3,6,3,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,22.1,30.622,61.8,C10,C,10,Amplicon
A2_6_4,A2,6_4,6,4,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,6.204,3.604,10.1,E1,E,1,Amplicon
A2_7_1,A2,7_1,7,1,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,23.3,29.56,46.4,G12,G,12,Amplicon
A2_7_2,A2,7_2,7,2,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,5.7073,4.12,16,A5,A,5,Amplicon
A2_7_3,A2,7_3,7,3,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,24.3,27.778,102,B3,B,3,Amplicon
A2_7_4,A2,7_4,7,4,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,6.7461,3.873,7.92,F3,F,3,Amplicon
A2_8_1,A2,8_1,8,1,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,21.8,16.263,11.7,B10,B,10,Amplicon
A2_8_2,A2,8_2,8,2,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,4.0927,2.853,5.74,F6,F,6,Amplicon
A2_8_3,A2,8_3,8,3,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,1,19.9,NA,13.8,H5,H,5,Amplicon
A2_8_4,A2,8_4,8,4,Fecal,2,4,2019-09-19,Mouse,Female,1,2019-12-03,1,4,2,4.6797,NA,6.72,H8,H,8,Amplicon
A2_9_1,A2,9_1,9,1,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,21.5,29.555,67.2,F12,F,12,Amplicon
A2_9_2,A2,9_2,9,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,6.8906,3.847,8.34,E3,E,3,Amplicon
A2_9_3,A2,9_3,9,3,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,22.6,26.267,52.6,E8,E,8,Amplicon
A2_9_4,A2,9_4,9,4,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,5.949,6.075,10.6,A11,A,11,Amplicon
A2_10_1,A2,10_1,10,1,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,21.3,22.63,54.2,B4,B,4,Amplicon
A2_10_2,A2,10_2,10,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,7.3401,4.298,12.1,B2,B,2,Amplicon
A2_10_3,A2,10_3,10,3,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,21.9,24.49,26.8,B9,B,9,Amplicon
A2_10_4,A2,10_4,10,4,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,7.3251,4.889,13.7,G4,G,4,Amplicon
A2_11_1,A2,11_1,11,1,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,22.4,15.215,22.8,G11,G,11,Amplicon
A2_11_2,A2,11_2,11,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,6.8657,4.792,9.6,G5,G,5,Amplicon
A2_11_3,A2,11_3,11,3,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,16.4,17.309,24.2,F10,F,10,Amplicon
A2_11_4,A2,11_4,11,4,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,6.3506,4.135,17.4,B1,B,1,Amplicon
A2_12_1,A2,12_1,12,1,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,1,17.6,11.326,19.9,B8,B,8,Amplicon
A2_12_2,A2,12_2,12,2,Fecal,2,4,2019-09-19,Mouse,Male,1,2019-12-03,1,4,2,4.3571,4.237,9.84,A12,A,12,Amplicon
A2_13_1,A2,13_1,13,1,T. mobilis,NA,NA,NA,NA,NA,2,2019-12-11,10,2,1,17.7,15.643,18.9,C9,C,9,Amplicon
A2_13_2,A2,13_2,13,2,T. mobilis,NA,NA,NA,NA,NA,2,2019-12-11,10,2,2,13.6,20.886,33.4,F4,F,4,Amplicon
A2_14_1,A2,14_1,14,1,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,1,0.9255,0.699,1.42,C6,C,6,Amplicon
A2_14_2,A2,14_2,14,2,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,2,8.401,4.405,11.3,F1,F,1,Amplicon
A2_14_3,A2,14_3,14,3,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,1,0.7367,0.739,1.15,D7,D,7,Amplicon
A2_14_4,A2,14_4,14,4,Inoculum,5,1,2019-10-07,NA,NA,2,2019-12-11,4,4,2,7.575,4.375,8.64,E7,E,7,Amplicon
A2_15_1,A2,15_1,15,1,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,1,0.4654,0.221,0.646,A8,A,8,Amplicon
A2_15_2,A2,15_2,15,2,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,2,6.489,3.109,6.66,A10,A,10,Amplicon
A2_15_3,A2,15_3,15,3,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,1,0.5021,0.439,0.676,C12,C,12,Amplicon
A2_15_4,A2,15_4,15,4,Inoculum,5,2,2019-10-08,NA,NA,2,2019-12-11,5,4,2,4.139,2.137,1.11,G8,G,8,Amplicon
A2_16_1,A2,16_1,16,1,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,1,1.103,0.524,0.816,F2,F,2,Amplicon
A2_16_2,A2,16_2,16,2,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,2,8.372,5.044,8.08,E9,E,9,Amplicon
A2_16_3,A2,16_3,16,3,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,1,1.141,1.064,1.95,C2,C,2,Amplicon
A2_16_4,A2,16_4,16,4,Inoculum,5,3,2019-10-09,NA,NA,2,2019-12-11,6,4,2,9.611,4.195,1.86,D2,D,2,Amplicon
A2_17_1,A2,17_1,17,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,9.917,8.518,18.4,F8,F,8,Amplicon
A2_17_2,A2,17_2,17,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,5.839,4.381,9.74,B5,B,5,Amplicon
A2_17_3,A2,17_3,17,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,10.3,9.023,20.2,A4,A,4,Amplicon
A2_17_4,A2,17_4,17,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,7.148,5.641,12.5,F11,F,11,Amplicon
A2_18_1,A2,18_1,18,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,11.18,12.817,3.82,D12,D,12,Amplicon
A2_18_2,A2,18_2,18,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,8.129,5.281,11.4,H2,H,2,Amplicon
A2_18_3,A2,18_3,18,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,11.19,12.051,33.2,C8,C,8,Amplicon
A2_18_4,A2,18_4,18,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,7.092,8.587,17.8,B12,B,12,Amplicon
A2_19_1,A2,19_1,19,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,7.406,6.302,25.4,C1,C,1,Amplicon
A2_19_2,A2,19_2,19,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,8.373,5.314,14,E6,E,6,Amplicon
A2_19_3,A2,19_3,19,3,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,7.682,6.183,9.12,D9,D,9,Amplicon
A2_19_4,A2,19_4,19,4,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,7.96,5.227,11.6,D6,D,6,Amplicon
A2_20_1,A2,20_1,20,1,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,1,17.1,16.997,55,C5,C,5,Amplicon
A2_20_2,A2,20_2,20,2,Fecal,6,4,2019-10-17,Mouse,Female,2,2019-12-11,1,4,2,9.269,6.257,13.5,D5,D,5,Amplicon
